#,organization,description,stars,forks,language,created_at,updated_at,archived,size_kb,has_issues,open_issues,default_branch,clone_url,html_url,repository_category_claude,repository_category
11,alchemyplatform,The easiest way to connect your dApp to the blockchain.,452,236,TypeScript,2022-03-22T20:28:45Z,2025-09-30T06:25:37Z,FALSE,9121,TRUE,16,master,https://github.com/alchemyplatform/alchemy-sdk-js.git,https://github.com/alchemyplatform/alchemy-sdk-js,SDK/Library,SDK / Library
12,algorand,Algorand's official implementation in Go.,1418,514,Go,2019-06-11T00:48:32Z,2025-10-02T13:54:52Z,FALSE,212110,TRUE,263,master,https://github.com/algorand/go-algorand.git,https://github.com/algorand/go-algorand,Blockchain Platform,Blockchain Core / Protocol
13,Arachnid,EVM disassembler,566,76,Go,2016-07-06T10:20:13Z,2025-09-20T04:30:55Z,FALSE,48,TRUE,8,master,https://github.com/Arachnid/evmdis.git,https://github.com/Arachnid/evmdis,Analysis Tool,Low-level Analysis Tool / Decoder
14,Arachnid,Basic string utilities for Solidity,1155,376,Solidity,2016-04-16T16:11:57Z,2025-09-07T15:32:56Z,FALSE,58,TRUE,33,master,https://github.com/Arachnid/solidity-stringutils.git,https://github.com/Arachnid/solidity-stringutils,Smart Contract Library,Smart Contract Library
15,Arachnid,An Ethereum proxy contract that can be used for deploying contracts to a deterministic address on any chain.,342,77,TypeScript,2019-11-26T01:57:39Z,2025-09-29T18:47:26Z,FALSE,20,FALSE,2,master,https://github.com/Arachnid/deterministic-deployment-proxy.git,https://github.com/Arachnid/deterministic-deployment-proxy,Smart Contract Tool,Smart Contract Deployment Tool
16,ArweaveTeam,Browser and Nodejs client for general interaction with the arweave protocol and gateways,623,135,TypeScript,2018-11-16T14:18:20Z,2025-09-29T05:43:57Z,FALSE,9635,TRUE,13,master,https://github.com/ArweaveTeam/arweave-js.git,https://github.com/ArweaveTeam/arweave-js,SDK/Library,SDK / Library
17,ArweaveTeam,The Arweave server and App Developer Toolkit.,1010,226,Erlang,2017-08-02T16:22:19Z,2025-10-02T12:46:01Z,FALSE,133828,TRUE,115,master,https://github.com/ArweaveTeam/arweave.git,https://github.com/ArweaveTeam/arweave,Storage Protocol,Blockchain Core / Protocol
18,austintgriffith,🛠🧮 Educational sandbox for building on web3. Visually understand how Ethereum works by doing.,712,187,JavaScript,2019-10-09T18:00:09Z,2025-09-18T07:12:44Z,FALSE,15763,TRUE,83,master,https://github.com/austintgriffith/eth.build.git,https://github.com/austintgriffith/eth.build,Educational Tool,Education Resource / Boilerplate
19,austintgriffith,🔥👛Burner Wallet to move crypto quickly in a web browser. Sweep to cold storage when you get home.  🏠👨🏻‍🚒,609,198,JavaScript,2018-10-27T11:36:46Z,2025-09-29T05:35:12Z,FALSE,10953,TRUE,74,master,https://github.com/austintgriffith/burner-wallet.git,https://github.com/austintgriffith/burner-wallet,Wallet,Wallet Dapp / Library / Browser
20,ava-labs,Go implementation of an Avalanche node.,2293,804,Go,2020-03-10T19:18:54Z,2025-10-02T10:18:36Z,FALSE,140022,TRUE,199,master,https://github.com/ava-labs/avalanchego.git,https://github.com/ava-labs/avalanchego,Blockchain Platform,Blockchain Core / Protocol
21,ava-labs,Avalanche Faucet for Fuji Network and Subnets.,486,229,TypeScript,2022-05-12T14:49:22Z,2025-09-07T23:33:13Z,FALSE,2919,TRUE,18,main,https://github.com/ava-labs/avalanche-faucet.git,https://github.com/ava-labs/avalanche-faucet,Development Tool,Other
22,ava-labs,The Avalanche Platform JavaScript Library,352,175,TypeScript,2020-01-22T00:26:36Z,2025-10-02T14:01:10Z,FALSE,13131,TRUE,22,master,https://github.com/ava-labs/avalanchejs.git,https://github.com/ava-labs/avalanchejs,SDK/Library,SDK / Library
23,AztecProtocol,Public repository for the AZTEC V1 protocol. For the latest zkRollup release see here https://github.com/AztecProtocol/aztec-2-bug-bounty,631,104,JavaScript,2018-11-26T13:50:05Z,2025-08-23T21:07:26Z,TRUE,83279,TRUE,72,develop,https://github.com/AztecProtocol/aztec-v1.git,https://github.com/AztecProtocol/aztec-v1,Privacy Protocol,Blockchain Core / Privacy Protocol
24,AztecProtocol,,369,521,C++,2023-02-20T16:28:18Z,2025-10-02T14:00:32Z,FALSE,905622,TRUE,1199,next,https://github.com/AztecProtocol/aztec-packages.git,https://github.com/AztecProtocol/aztec-packages,Privacy Protocol,Blockchain Core / Privacy Protocol
25,AztecProtocol,aztec connect repository,454,391,TypeScript,2022-03-18T16:23:25Z,2025-09-07T20:08:35Z,FALSE,241112,FALSE,11,master,https://github.com/AztecProtocol/aztec-connect.git,https://github.com/AztecProtocol/aztec-connect,Privacy Protocol,Blockchain Core / Privacy Protocol
26,bitcoinjs,JavaScript implementation of Bitcoin BIP39: Mnemonic code for generating deterministic keys,1158,453,JavaScript,2014-03-10T02:57:09Z,2025-09-30T20:45:01Z,FALSE,498,TRUE,11,master,https://github.com/bitcoinjs/bip39.git,https://github.com/bitcoinjs/bip39,Cryptography Library,Cryptography Library
27,bitcoinjs,A javascript Bitcoin library for node.js and browsers.,5923,2196,JavaScript,2011-05-04T16:03:45Z,2025-10-02T00:49:10Z,FALSE,7652,TRUE,42,master,https://github.com/bitcoinjs/bitcoinjs-lib.git,https://github.com/bitcoinjs/bitcoinjs-lib,SDK/Library,SDK / Library
28,blockscout,Blockchain explorer for Ethereum based network and a tool for inspecting and analyzing EVM based blockchains.,4204,2854,Elixir,2018-01-12T22:45:24Z,2025-10-02T12:00:55Z,FALSE,208831,TRUE,411,master,https://github.com/blockscout/blockscout.git,https://github.com/blockscout/blockscout,Blockchain Explorer,Other
29,bnb-chain,A BNB Smart Chain client based on the go-ethereum fork,3118,1760,Go,2020-05-21T06:44:14Z,2025-10-01T12:39:31Z,FALSE,236541,TRUE,49,master,https://github.com/bnb-chain/bsc.git,https://github.com/bnb-chain/bsc,Blockchain Platform,Blockchain Core / Protocol
30,bnb-chain,"Threshold Signature Scheme, for ECDSA and EDDSA",935,327,Go,2019-05-11T13:10:27Z,2025-09-29T05:44:25Z,FALSE,5348,TRUE,63,master,https://github.com/bnb-chain/tss-lib.git,https://github.com/bnb-chain/tss-lib,Cryptography Library,Cryptography Library
31,bnb-chain,BNB Smart Chain,1975,654,,2020-04-13T06:06:06Z,2025-09-28T20:31:09Z,FALSE,457,TRUE,26,master,https://github.com/bnb-chain/whitepaper.git,https://github.com/bnb-chain/whitepaper,Documentation,Documentation
32,bnb-chain,The official documentation for BNB Chain.,362,710,HTML,2022-03-15T04:03:48Z,2025-10-02T08:35:07Z,FALSE,561158,TRUE,61,main,https://github.com/bnb-chain/bnb-chain.github.io.git,https://github.com/bnb-chain/bnb-chain.github.io,Documentation,Documentation
33,bnb-chain,BNB Evolution Proposals,910,636,Solidity,2019-04-08T06:37:32Z,2025-10-01T10:58:56Z,FALSE,15867,TRUE,25,master,https://github.com/bnb-chain/BEPs.git,https://github.com/bnb-chain/BEPs,Documentation,Specification
34,bnb-chain,"A hub of frontend, agent kits, and smart contract examples for BNB Chain developers. Build and innovate with ready-to-use resources.",321,215,TypeScript,2025-03-12T04:13:06Z,2025-10-01T23:40:15Z,FALSE,10425,TRUE,4,main,https://github.com/bnb-chain/example-hub.git,https://github.com/bnb-chain/example-hub,Educational Resource,Education Resource / Boilerplate
35,bnb-chain,,426,184,Go,2023-05-30T06:36:29Z,2025-09-28T20:33:22Z,FALSE,235044,TRUE,6,main,https://github.com/bnb-chain/opbnb.git,https://github.com/bnb-chain/opbnb,Layer 2 Protocol,Blockchain Core / Protocol
36,bnb-chain,Javascript SDK to communicate with BNB Beacon Chain.,390,238,TypeScript,2018-08-30T09:38:20Z,2025-09-12T10:32:38Z,FALSE,3110,TRUE,3,master,https://github.com/bnb-chain/javascript-sdk.git,https://github.com/bnb-chain/javascript-sdk,SDK/Library,SDK / Library
37,bnb-chain,The genesis contracts of BNB Smart Chain.,733,797,Solidity,2020-05-20T05:46:30Z,2025-10-02T03:40:42Z,FALSE,4445,TRUE,14,master,https://github.com/bnb-chain/bsc-genesis-contract.git,https://github.com/bnb-chain/bsc-genesis-contract,Smart Contract Protocol,Blockchain Core / Protocol
38,cdump,"Extracts function selectors, arguments, state mutability and storage layout from EVM bytecode, even for unverified contracts",397,26,Rust,2023-11-25T07:50:16Z,2025-09-27T09:04:44Z,FALSE,1107,TRUE,5,master,https://github.com/cdump/evmole.git,https://github.com/cdump/evmole,Analysis Tool,Low-level Analysis Tool / Decoder
39,ceramicnetwork,Typescript implementation of the Ceramic protocol,421,129,TypeScript,2020-02-25T10:20:36Z,2025-09-14T14:27:38Z,FALSE,69934,TRUE,55,develop,https://github.com/ceramicnetwork/js-ceramic.git,https://github.com/ceramicnetwork/js-ceramic,Data Protocol,Other
40,coinbase,Every AI Agent deserves a wallet.,867,516,TypeScript,2024-10-31T20:40:22Z,2025-10-02T01:07:48Z,FALSE,14883,TRUE,85,main,https://github.com/coinbase/agentkit.git,https://github.com/coinbase/agentkit,Data Protocol,AI Tool
41,coinbase,,863,140,Go,2021-11-02T23:15:27Z,2025-09-25T03:50:35Z,TRUE,5063,TRUE,17,master,https://github.com/coinbase/kryptology.git,https://github.com/coinbase/kryptology,Cryptography Library,Cryptography Library
42,coinbase,Coinbase MPC Library,386,93,C++,2023-12-01T14:23:59Z,2025-09-30T11:04:26Z,FALSE,6311,TRUE,3,master,https://github.com/coinbase/cb-mpc.git,https://github.com/coinbase/cb-mpc,Cryptography Library,Cryptography Library
43,coinbase,Accelerate your onchain creativity with the Build Onchain Apps Template. ⛵️,748,133,Solidity,2023-11-02T04:34:47Z,2025-09-30T17:04:22Z,TRUE,43574,TRUE,37,main,https://github.com/coinbase/build-onchain-apps.git,https://github.com/coinbase/build-onchain-apps,Development Template,Education Resource / Boilerplate
44,coinbase,,509,37,,2024-03-22T17:05:38Z,2025-09-30T17:04:26Z,FALSE,67,TRUE,6,main,https://github.com/coinbase/solidity-style-guide.git,https://github.com/coinbase/solidity-style-guide,Documentation,Documentation
45,coinbase,Improve Terraform's plan output to be easier to read and understand,1605,136,Ruby,2017-02-28T19:24:09Z,2025-10-01T11:26:07Z,FALSE,778,TRUE,18,master,https://github.com/coinbase/terraform-landscape.git,https://github.com/coinbase/terraform-landscape,Infrastructure Tool,Other
46,coinbase,A payments protocol for the internet. Built on HTTP.,1856,289,TypeScript,2025-02-21T01:17:52Z,2025-10-02T13:39:37Z,FALSE,32661,TRUE,103,main,https://github.com/coinbase/x402.git,https://github.com/coinbase/x402,Protocol,DeFi Protocol
47,coinbase,Coinbase Pay SDK,347,161,TypeScript,2022-04-13T00:43:27Z,2025-09-29T18:47:46Z,FALSE,372,TRUE,102,main,https://github.com/coinbase/cbpay-js.git,https://github.com/coinbase/cbpay-js,SDK/Library,SDK / Library
48,coinbase,Specification files for the Mesh Blockchain Standard,348,99,Shell,2020-04-28T14:06:01Z,2025-09-30T17:04:57Z,FALSE,496,TRUE,13,master,https://github.com/coinbase/mesh-specifications.git,https://github.com/coinbase/mesh-specifications,Specification,Specification
49,coinbase,React components and TypeScript utilities to help you build top-tier onchain apps.,946,402,TypeScript,2023-12-11T23:36:10Z,2025-10-01T21:34:21Z,FALSE,213514,TRUE,49,main,https://github.com/coinbase/onchainkit.git,https://github.com/coinbase/onchainkit,UI Library,UI / Frontend / Library
50,coinbase,,422,128,Solidity,2024-02-27T01:46:33Z,2025-10-01T20:54:09Z,FALSE,22085,TRUE,39,main,https://github.com/coinbase/smart-wallet.git,https://github.com/coinbase/smart-wallet,Wallet,Wallet Dapp / Library / Browser
51,coinbase,An open protocol that lets users connect their mobile wallets to your DApp,1651,673,TypeScript,2019-05-01T02:05:45Z,2025-09-29T18:47:21Z,FALSE,29116,TRUE,38,master,https://github.com/coinbase/coinbase-wallet-sdk.git,https://github.com/coinbase/coinbase-wallet-sdk,Wallet SDK,Wallet Dapp / Library / Browser
52,compound-finance,The Compound On-Chain Protocol,1987,1237,TypeScript,2019-08-02T22:37:25Z,2025-09-29T13:22:08Z,FALSE,6325,TRUE,70,master,https://github.com/compound-finance/compound-protocol.git,https://github.com/compound-finance/compound-protocol,DeFi Protocol,DeFi Protocol
53,ConsenSys,Nodejs and Javascript library for decoding data params and events from ethereum transactions,645,222,JavaScript,2017-02-15T12:23:12Z,2025-08-27T13:20:34Z,FALSE,1013,TRUE,64,master,https://github.com/Consensys/abi-decoder.git,https://github.com/Consensys/abi-decoder,Analysis Tool,Low-level Analysis Tool / Decoder
54,ConsenSys,A GraphQL interface to Ethereum :fire:,622,87,TypeScript,2018-02-17T00:34:40Z,2025-08-27T12:15:48Z,TRUE,4288,TRUE,48,master,https://github.com/Consensys/ethql.git,https://github.com/Consensys/ethql,API/Interface,Other
55,ConsenSys,Open-source Ethereum consensus client written in Java,732,347,Java,2018-09-07T09:30:05Z,2025-10-02T08:35:21Z,FALSE,559543,TRUE,239,master,https://github.com/Consensys/teku.git,https://github.com/Consensys/teku,Blockchain Client,Blockchain Core / Protocol
56,ConsenSys,A permissioned implementation of Ethereum supporting data privacy,4751,1307,Go,2016-11-14T05:42:57Z,2025-09-30T12:32:10Z,FALSE,188981,TRUE,88,master,https://github.com/Consensys/quorum.git,https://github.com/Consensys/quorum,Blockchain Platform,Blockchain Core / Privacy Protocol
57,ConsenSys,"gnark-crypto provides elliptic curve and pairing-based cryptography on BN, BLS12, BLS24 and BW6 curves. It also provides various algorithms (algebra, crypto) of particular interest to zero knowledge p",561,218,Go,2020-03-23T16:43:31Z,2025-10-01T11:26:19Z,FALSE,40337,TRUE,63,master,https://github.com/Consensys/gnark-crypto.git,https://github.com/Consensys/gnark-crypto,Cryptography Library,Cryptography Library
58,ConsenSys,Linea documentation,450,535,JavaScript,2022-10-31T10:33:54Z,2025-10-02T10:08:29Z,FALSE,523927,TRUE,21,main,https://github.com/Consensys/doc.linea.git,https://github.com/Consensys/doc.linea,Documentation,Documentation
59,ConsenSys,A guide to available tools and platforms for developing on Ethereum.,5434,1364,,2018-06-08T15:52:14Z,2025-10-02T09:16:13Z,TRUE,1138,TRUE,38,master,https://github.com/Consensys/ethereum-developer-tools-list.git,https://github.com/Consensys/ethereum-developer-tools-list,Educational Resource,Education Resource / Boilerplate
60,ConsenSys,Examples for Quorum,320,348,Shell,2016-11-21T16:44:33Z,2025-09-14T01:44:43Z,FALSE,598,TRUE,14,master,https://github.com/Consensys/quorum-examples.git,https://github.com/Consensys/quorum-examples,Educational Resource,Education Resource / Boilerplate
61,ConsenSys,An integrated development environment and SDK for Ethereum-like ledgers,506,200,JavaScript,2016-12-13T16:00:08Z,2025-04-28T17:36:36Z,TRUE,301065,TRUE,25,master,https://github.com/Consensys/cakeshop.git,https://github.com/Consensys/cakeshop,IDE/Development Environment,IDE / Development Environment
62,ConsenSys,"A private payment system for Ethereum-based blockchains, with no trusted setup.",305,76,Solidity,2019-05-15T04:52:12Z,2025-09-01T02:06:28Z,FALSE,33101,TRUE,12,master,https://github.com/Consensys/anonymous-zether.git,https://github.com/Consensys/anonymous-zether,Privacy Protocol,Blockchain Core / Privacy Protocol
63,ConsenSys,Peer-to-peer encrypted message exchange,383,108,Haskell,2016-11-14T06:27:55Z,2025-06-09T14:28:01Z,TRUE,253,TRUE,3,master,https://github.com/Consensys/constellation.git,https://github.com/Consensys/constellation,Privacy Tool,Blockchain Core / Privacy Protocol
64,ConsenSys,Ethereum Token Contracts,2112,1210,JavaScript,2015-05-10T21:28:55Z,2025-10-02T14:17:13Z,TRUE,1254,TRUE,28,master,https://github.com/Consensys/Tokens.git,https://github.com/Consensys/Tokens,Smart Contract Library,Smart Contract Library
65,ConsenSys,Implementation of Universal Token for Assets and Payments,354,196,JavaScript,2018-12-18T12:45:11Z,2025-09-10T07:49:02Z,TRUE,21445,TRUE,21,master,https://github.com/Consensys/UniversalToken.git,https://github.com/Consensys/UniversalToken,Smart Contract Protocol,Smart Contract Library
66,ConsenSys,Basic Token Factory dapp.,479,306,JavaScript,2015-12-08T19:54:42Z,2025-08-07T03:01:11Z,FALSE,2813,TRUE,45,master,https://github.com/Consensys/Token-Factory.git,https://github.com/Consensys/Token-Factory,Smart Contract Tool,UI / Frontend / Library
67,ConsenSys,Lightweight JS Wallet for Node and the browser,1472,507,JavaScript,2015-06-12T18:56:52Z,2025-10-01T18:31:51Z,FALSE,19971,TRUE,79,master,https://github.com/Consensys/eth-lightwallet.git,https://github.com/Consensys/eth-lightwallet,Wallet Library,Wallet Dapp / Library / Browser
68,ConsenSys,gnark is a fast zk-SNARK library that offers a high-level API to design circuits. The library is open source and developed under the Apache 2.0 license,1613,477,Go,2020-02-24T16:08:21Z,2025-09-29T23:00:23Z,FALSE,32834,TRUE,135,master,https://github.com/Consensys/gnark.git,https://github.com/Consensys/gnark,ZK Library,ZK Library
69,cryptofinlabs,Lightweight Javascript library for decoding constructor arguments.,320,116,JavaScript,2018-06-01T00:11:57Z,2025-04-02T00:32:06Z,FALSE,15,TRUE,3,master,https://github.com/cryptofinlabs/canoe-solidity.git,https://github.com/cryptofinlabs/canoe-solidity,Analysis Tool,Low-level Analysis Tool / Decoder
70,cryptofinlabs,A Solidity smart contract auditing checklist,362,61,,2018-06-19T18:47:01Z,2025-10-02T09:09:38Z,FALSE,2,TRUE,1,master,https://github.com/cryptofinlabs/audit-checklist.git,https://github.com/cryptofinlabs/audit-checklist,Security Resource,Education Resource / Boilerplate
71,crytic,EVM dissassembler,854,121,Python,2017-10-18T21:17:19Z,2025-09-15T15:50:24Z,TRUE,2078,TRUE,9,master,https://github.com/crytic/ethersplay.git,https://github.com/crytic/ethersplay,Analysis Tool,Low-level Analysis Tool / Decoder
72,crytic,evm binary static analysis,362,44,Python,2018-03-06T20:48:37Z,2025-08-21T19:28:26Z,FALSE,4197,TRUE,12,master,https://github.com/crytic/rattle.git,https://github.com/crytic/rattle,Analysis Tool,Low-level Analysis Tool / Decoder
73,crytic,Ethereum Virtual Machine (EVM) disassembler and assembler,377,50,Python,2018-06-20T14:21:51Z,2025-09-09T08:37:09Z,FALSE,188,TRUE,17,master,https://github.com/crytic/pyevmasm.git,https://github.com/crytic/pyevmasm,Analysis Tool,Low-level Analysis Tool / Decoder
74,crytic,IDA Processor Module for the Ethereum Virtual Machine (EVM),314,60,Python,2018-03-16T06:08:18Z,2025-07-25T14:25:26Z,FALSE,1169,TRUE,8,master,https://github.com/crytic/ida-evm.git,https://github.com/crytic/ida-evm,Analysis Tool,Low-level Analysis Tool / Decoder
75,crytic,Manage and switch between Solidity compiler versions,791,112,Python,2019-01-14T19:24:59Z,2025-10-02T12:01:47Z,FALSE,484,TRUE,17,dev,https://github.com/crytic/solc-select.git,https://github.com/crytic/solc-select,Development Tool,Development Platform / Framework
76,crytic,Ethereum opcodes and instruction reference,1356,221,,2018-02-16T23:12:29Z,2025-09-30T18:22:14Z,FALSE,25,TRUE,11,master,https://github.com/crytic/evm-opcodes.git,https://github.com/crytic/evm-opcodes,Documentation,Documentation
77,crytic,Examples of Solidity security issues,2221,360,Solidity,2017-08-28T17:26:15Z,2025-09-27T20:11:53Z,TRUE,473,TRUE,10,master,https://github.com/crytic/not-so-smart-contracts.git,https://github.com/crytic/not-so-smart-contracts,Educational Resource,Education Resource / Boilerplate
78,crytic,Guidelines and training material to write secure smart contracts,2393,373,Solidity,2020-01-10T17:58:29Z,2025-09-30T08:59:49Z,FALSE,6823,TRUE,54,master,https://github.com/crytic/building-secure-contracts.git,https://github.com/crytic/building-secure-contracts,Educational Resource,Education Resource / Boilerplate
79,crytic,A curated list of awesome Ethereum security references,1418,201,,2018-08-10T19:58:33Z,2025-10-02T09:09:29Z,FALSE,37,TRUE,24,master,https://github.com/crytic/awesome-ethereum-security.git,https://github.com/crytic/awesome-ethereum-security,Educational Resource,Education Resource / Boilerplate
80,crytic,Directory of security contacts for blockchain companies,407,184,,2018-08-02T18:49:05Z,2025-08-19T11:12:47Z,FALSE,283,TRUE,5,master,https://github.com/crytic/blockchain-security-contacts.git,https://github.com/crytic/blockchain-security-contacts,Security Resource,Documentation
81,crytic,Static Analyzer for Solidity and Vyper,5921,1065,Python,2018-09-05T21:56:35Z,2025-10-02T03:18:14Z,FALSE,71281,TRUE,468,master,https://github.com/crytic/slither.git,https://github.com/crytic/slither,Security Tool,Security Tool
82,crytic,Pre-built security properties for common Ethereum operations,340,52,Solidity,2023-02-22T17:26:54Z,2025-10-01T16:51:07Z,FALSE,522,TRUE,25,main,https://github.com/crytic/properties.git,https://github.com/crytic/properties,Testing Library,Testing Tool
83,crytic,Simplify Ethereum security analysis and testing,340,33,Python,2018-06-27T22:03:53Z,2025-09-14T14:42:55Z,TRUE,756,TRUE,37,master,https://github.com/crytic/etheno.git,https://github.com/crytic/etheno,Testing Tool,Security Tool
84,crytic,"Parallelized, coverage-guided, mutational Solidity smart contract fuzzing, powered by go-ethereum",423,73,Go,2021-08-31T19:03:08Z,2025-09-23T09:40:54Z,FALSE,2837,TRUE,124,master,https://github.com/crytic/medusa.git,https://github.com/crytic/medusa,Testing Tool,Security Tool
85,crytic,Ethereum smart contract fuzzer,2997,409,Haskell,2017-08-27T23:13:10Z,2025-10-01T17:16:32Z,FALSE,2657,TRUE,127,master,https://github.com/crytic/echidna.git,https://github.com/crytic/echidna,Testing Tool,Security Tool
86,dappros,"A 'super app' engine for your project. React Native (iOS, Android) and React.js (Web, desktop). Social Sign In 🄵, Messaging 💬 (chat, voice, push notifications), Web3 Wallet 🪪 (profile QR, documents, c",500,98,TypeScript,2021-06-21T12:59:37Z,2025-10-02T02:12:14Z,FALSE,498060,TRUE,2,main,https://github.com/dappros/ethora.git,https://github.com/dappros/ethora,Development Platform,Development Platform / Framework
87,dbpunk-labs," a Lightweight, Permanent JSON document database",376,43,Rust,2022-03-25T04:15:34Z,2025-09-17T06:14:02Z,FALSE,16128,TRUE,37,main,https://github.com/dbpunk-labs/db3.git,https://github.com/dbpunk-labs/db3,Database,Other
88,embarklabs,"Framework for serverless Decentralized Applications using Ethereum, IPFS and other platforms",3794,490,JavaScript,2015-05-24T13:10:10Z,2025-09-29T18:46:00Z,FALSE,90644,TRUE,134,master,https://github.com/embarklabs/embark.git,https://github.com/embarklabs/embark,Development Framework,Development Platform / Framework
89,ensdomains,"Implementations for ENS core functionality: The registry, registrars, and public resolvers.",1157,512,JavaScript,2016-05-29T11:31:55Z,2025-09-24T16:52:37Z,TRUE,3938,TRUE,91,master,https://github.com/ensdomains/ens.git,https://github.com/ensdomains/ens,Smart Contract Protocol,Identity / Naming Protocol
90,ensdomains,The core contracts of the ENS protocol,663,479,TypeScript,2021-05-13T11:25:41Z,2025-10-01T23:34:54Z,FALSE,10347,TRUE,74,staging,https://github.com/ensdomains/ens-contracts.git,https://github.com/ensdomains/ens-contracts,Smart Contract Protocol,Identity / Naming Protocol
91,enzymefinance,Enzyme Protocol Implementation,482,185,Solidity,2016-11-04T23:44:25Z,2025-10-01T22:15:47Z,FALSE,32770,TRUE,5,dev,https://github.com/enzymefinance/protocol.git,https://github.com/enzymefinance/protocol,DeFi Protocol,DeFi Protocol
92,enzymefinance,An Analysis Tool for Smart Contracts,1335,314,JavaScript,2017-03-17T14:42:38Z,2025-09-26T14:48:20Z,TRUE,67351,TRUE,85,master,https://github.com/enzymefinance/oyente.git,https://github.com/enzymefinance/oyente,Security Tool,Security Tool
93,erpc,eRPC — fault-tolerant evm rpc proxy,559,60,Go,2024-05-06T10:32:04Z,2025-10-01T20:01:19Z,FALSE,39603,TRUE,12,main,https://github.com/erpc/erpc.git,https://github.com/erpc/erpc,Infrastructure,Infrastructure
94,eth-brownie,A Python-based development and testing framework for smart contracts targeting the Ethereum Virtual Machine.,2719,585,C,2018-11-02T19:39:26Z,2025-10-01T20:21:05Z,FALSE,22305,TRUE,394,master,https://github.com/eth-brownie/brownie.git,https://github.com/eth-brownie/brownie,Testing Framework,Development Platform / Framework
95,ethereum,Utilities for interacting with the Ethereum virtual machine,381,57,Python,2017-06-07T08:17:11Z,2025-09-04T06:03:23Z,TRUE,3450,TRUE,10,master,https://github.com/ethereum/evmlab.git,https://github.com/ethereum/evmlab,Analysis Tool,Low-level Analysis Tool / Decoder
96,ethereum,Collection of APIs provided by Ethereum execution layer clients,1060,450,Io,2021-06-16T19:08:14Z,2025-10-01T08:30:40Z,FALSE,22930,TRUE,119,main,https://github.com/ethereum/execution-apis.git,https://github.com/ethereum/execution-apis,API Specification,Specification
97,ethereum,Collection of RESTful APIs provided by Ethereum Beacon nodes,363,196,HTML,2019-08-15T21:27:12Z,2025-09-29T18:47:24Z,FALSE,14711,TRUE,33,master,https://github.com/ethereum/beacon-APIs.git,https://github.com/ethereum/beacon-APIs,API Specification,Specification
98,ethereum,Next generation cryptocurrency network,2666,726,,2013-12-24T02:40:05Z,2025-09-28T10:56:36Z,TRUE,5648,TRUE,87,develop,https://github.com/ethereum/pyethereum.git,https://github.com/ethereum/pyethereum,Blockchain Client,Blockchain Core / Protocol
